id,category_code,parent_category_code,name,level,sort_order,status,created_at,updated_at
,SKIRT_MINI,DRESS_SKIRT,미니 스커트,2,40,ACTIVE,,
,SKIRT_MIDI,DRESS_SKIRT,미디 스커트,2,50,ACTIVE,,
,SKIRT_MAXI,DRESS_SKIRT,롱/맥시 스커트,2,60,ACTIVE,,
,SKIRT_DENIM,DRESS_SKIRT,데님 스커트,2,70,ACTIVE,,
,JUMPSUIT_OVERALL,DRESS_SKIRT,점프수트/오버올,2,80,ACTIVE,,
,DRESS_SKIRT_OTHER,DRESS_SKIRT,기타 원피스·스커트,2,90,ACTIVE,,
,SHOES_SNEAKERS,SHOES,스니커즈,2,10,ACTIVE,,
,SHOES_SPORTS,SHOES,스포츠화,2,20,ACTIVE,,
,SHOES_LOAFER,SHOES,로퍼,2,30,ACTIVE,,
,SHOES_FLAT,SHOES,플랫,2,40,ACTIVE,,
,SHOES_DERBY_LACEUP,SHOES,더비/레이스업,2,50,ACTIVE,,
,SHOES_HEEL_PUMPS,SHOES,힐/펌프스,2,60,ACTIVE,,
,SHOES_BOOTS,SHOES,부츠/워커,2,70,ACTIVE,,
,SHOES_SANDAL_SLIPPER,SHOES,샌들/슬리퍼,2,80,ACTIVE,,
,SHOES_OTHER,SHOES,기타 신발,2,90,ACTIVE,,
,BAG_ALL,BAG,가방,2,10,ACTIVE,,
,ACC_HAT,ACCESSORY,모자,2,10,ACTIVE,,
,ACC_JEWELRY,ACCESSORY,주얼리,2,20,ACTIVE,,
,ACC_EYEWEAR,ACCESSORY,아이웨어,2,30,ACTIVE,,
,ACC_WATCH,ACCESSORY,시계,2,40,ACTIVE,,
,ACC_BELT,ACCESSORY,벨트,2,50,ACTIVE,,
,ACC_LEGWEAR,ACCESSORY,양말/레그웨어,2,60,ACTIVE,,
,ACC_SCARF_MUFFLER,ACCESSORY,스카프/머플러,2,70,ACTIVE,,
,ACC_GLOVES,ACCESSORY,장갑,2,80,ACTIVE,,
,ACC_HAIR,ACCESSORY,헤어 액세서리,2,90,ACTIVE,,
,ACC_WALLET,ACCESSORY,지갑,2,100,ACTIVE,,
,ACC_OTHER,ACCESSORY,기타 액세서리,2,110,ACTIVE,,
,ETC_INNERWEAR,ETC,이너웨어,2,10,ACTIVE,,
