term_id,term_code,term_type,canonical_name,english_name,color_family,base_color_id,base_color_code,base_color_name,note,created_at,updated_at
,COLOR_BLUE,COLOR,블루,Blue,쿨톤,,,,쿨톤을 대표하는 기본 색상,,
,COLOR_OCEAN_BLUE,COLOR,오션블루,Ocean Blue,쿨톤,,COLOR_BLUE,블루,바다를 연상시키는 짙고 깊은 파란색,,
,COLOR_SKY_BLUE,COLOR,스카이블루,Sky Blue,쿨톤,,,,밝고 청량한 블루 톤,,
,COLOR_ICE_BLUE,COLOR,아이스블루,Ice Blue,파스텔,,COLOR_SKY_BLUE,스카이블루,얼음처럼 차갑고 창백한 블루,,
,COLOR_COBALT_BLUE,COLOR,코발트블루,Cobalt Blue,쿨톤,,,,채도 높은 짙은 블루,,
,COLOR_STEEL_BLUE,COLOR,스틸블루,Steel Blue,쿨톤,,COLOR_COBALT_BLUE,코발트블루,강철처럼 차갑고 무게감 있는 청회색 블루,,
,COLOR_DENIM_BLUE,COLOR,데님블루,Denim Blue,쿨톤,,,,데님 원단에서 유래한 블루 톤,,
,COLOR_GREEN,COLOR,그린,Green,쿨톤,,,,쿨톤을 대표하는 기본 색상,,
,COLOR_FOREST_GREEN,COLOR,포레스트그린,Forest Green,딥/다크,,COLOR_GREEN,그린,숲을 연상시키는 짙고 차분한 초록색,,
,COLOR_LIME_GREEN,COLOR,라임그린,Lime Green,비비드,,COLOR_GREEN,그린,라임처럼 상큼하고 채도 높은 연두빛 초록,,
,COLOR_APPLE_GREEN,COLOR,애플그린,Apple Green,비비드,,COLOR_GREEN,그린,사과 껍질처럼 선명한 연두색,,
,COLOR_EMERALD_GREEN,COLOR,에메랄드그린,Emerald Green,딥/다크,,COLOR_GREEN,그린,보석 에메랄드처럼 짙고 채도 높은 초록,,
,COLOR_TEAL,COLOR,틸,Teal,쿨톤,,,,"블루와 그린 사이의 색, 애슬레저·아웃도어룩에 자주 사용",,
,COLOR_MINT,COLOR,민트,Mint,쿨톤,,,,"밝고 청량한 연녹색, 발레코어·파스텔톤 코디에 활용",,
,COLOR_RED,COLOR,레드,Red,비비드,,,,"강렬한 포인트 컬러, 시크·클래식룩의 액센트",,
,COLOR_CHERRY_RED,COLOR,체리레드,Cherry Red,비비드,,COLOR_RED,레드,체리처럼 진하고 광택감 있는 붉은색,,
,COLOR_TOMATO_RED,COLOR,토마토레드,Tomato Red,비비드,,COLOR_RED,레드,토마토처럼 살짝 주황 기가 도는 선명한 레드,,
,COLOR_YELLOW,COLOR,옐로우,Yellow,비비드,,,,밝고 생동감 있는 비비드 컬러,,
,COLOR_LEMON_YELLOW,COLOR,레몬옐로우,Lemon Yellow,비비드,,COLOR_YELLOW,옐로우,레몬처럼 산뜻하고 밝은 노란색,,
,COLOR_BUTTER_YELLOW,COLOR,버터옐로우,Butter Yellow,파스텔,,COLOR_YELLOW,옐로우,"부드럽고 크리미한 저채도 노란색, 최근 시즌 유행 컬러",,
,COLOR_CANARY_YELLOW,COLOR,카나리아옐로우,Canary Yellow,비비드,,COLOR_YELLOW,옐로우,카나리아 깃털처럼 쨍하고 선명한 노란색,,
,COLOR_ORANGE,COLOR,오렌지,Orange,비비드,,,,활동적이고 캐주얼한 인상의 비비드 컬러,,
,COLOR_TANGERINE,COLOR,탠저린,Tangerine,비비드,,COLOR_ORANGE,오렌지,귤처럼 선명하고 달콤한 인상의 주황색,,
,COLOR_SUNSET_ORANGE,COLOR,선셋오렌지,Sunset Orange,비비드,,COLOR_ORANGE,오렌지,노을처럼 붉은 기가 도는 강렬한 주황,,
,COLOR_PINK,COLOR,핑크,Pink,비비드,,,,러블리·페미닌룩의 대표 컬러,,
,COLOR_ROSE_PINK,COLOR,로즈핑크,Rose Pink,비비드,,COLOR_PINK,핑크,장미꽃처럼 진하고 화사한 핑크,,
,COLOR_WATERMELON_PINK,COLOR,왓터멜론핑크,Watermelon Pink,비비드,,COLOR_PINK,핑크,수박 속살처럼 선명하고 상큼한 핑크,,
,COLOR_CHERRY_PINK,COLOR,체리핑크,Cherry Pink,비비드,,COLOR_PINK,핑크,체리처럼 채도 높고 살짝 붉은 기가 도는 핑크,,
,COLOR_FUCHSIA,COLOR,퓨시아,Fuchsia,비비드,,,,핑크보다 채도 높은 진분홍,,
,COLOR_RASPBERRY,COLOR,라즈베리,Raspberry,비비드,,COLOR_FUCHSIA,퓨시아,산딸기처럼 진하고 새콤한 인상의 자주빛 핑크,,
,COLOR_PURPLE,COLOR,퍼플,Purple,비비드,,,,그런지·Y2K룩에서 포인트로 활용,,
,COLOR_AMETHYST,COLOR,아메시스트,Amethyst,딥/다크,,COLOR_PURPLE,퍼플,자수정처럼 짙고 신비로운 보라색,,
,COLOR_ORCHID,COLOR,오키드,Orchid,비비드,,COLOR_PURPLE,퍼플,난초꽃처럼 화사하고 채도 높은 연보라~핑크빛 퍼플,,
,COLOR_CORAL,COLOR,코랄,Coral,비비드,,,,"오렌지와 핑크 사이의 산호빛 색상, 여름 시즌에 자주 활용",,
,COLOR_BABY_PINK,COLOR,베이비핑크,Baby Pink,파스텔,,,,"파스텔톤의 대표 컬러, 발레코어·러블리룩에 사용",,
,COLOR_DUSTY_PINK,COLOR,더스티핑크,Dusty Pink,파스텔,,COLOR_BABY_PINK,베이비핑크,뿌옇고 차분하게 가라앉은 저채도 핑크,,
,COLOR_BABY_BLUE,COLOR,베이비블루,Baby Blue,파스텔,,,,부드러운 파스텔 블루,,
,COLOR_POWDER_BLUE,COLOR,파우더블루,Powder Blue,파스텔,,COLOR_BABY_BLUE,베이비블루,분가루처럼 뽀얗고 은은한 하늘색,,
,COLOR_LAVENDER,COLOR,라벤더,Lavender,파스텔,,,,은은하고 몽환적인 파스텔 퍼플,,
,COLOR_PERIWINKLE,COLOR,페리윙클,Periwinkle,파스텔,,COLOR_LAVENDER,라벤더,"블루와 퍼플 사이의 몽환적인 색, 최근 트렌드 컬러로 자주 언급",,
,COLOR_LILAC,COLOR,라일락,Lilac,파스텔,,,,라벤더보다 핑크 기가 도는 연보라,,
,COLOR_PEACH,COLOR,피치,Peach,파스텔,,,,부드럽고 따뜻한 파스텔 오렌지 계열,,
,COLOR_APRICOT,COLOR,애프리콧,Apricot,파스텔,,COLOR_PEACH,피치,살구처럼 은은하고 부드러운 주황빛 파스텔,,
,COLOR_SALMON,COLOR,살몬,Salmon,파스텔,,,,핑크와 오렌지 사이의 은은한 파스텔 톤,,
,COLOR_GOLD,COLOR,골드,Gold,메탈릭,,,,"화려하고 고급스러운 인상의 메탈릭 컬러, Y2K룩에 자주 활용",,
,COLOR_SILVER,COLOR,실버,Silver,메탈릭,,,,시크하고 미래적인 인상의 메탈릭 컬러,,
,COLOR_ROSE_GOLD,COLOR,로즈골드,Rose Gold,메탈릭,,,,골드와 핑크가 섞인 은은한 메탈릭 컬러,,
,COLOR_PEARL,COLOR,펄,Pearl,메탈릭,,,,은은한 광택이 도는 진주빛 컬러,,
,COLOR_BURGUNDY,COLOR,버건디,Burgundy,딥/다크,,,,"와인색에 가까운 짙은 레드, 가을·겨울 시즌 대표 컬러",,
,COLOR_WINE,COLOR,와인,Wine,딥/다크,,,,버건디보다 퍼플 기가 도는 짙은 레드,,
,COLOR_DEEP_NAVY,COLOR,딥네이비,Deep Navy,딥/다크,,,,네이비보다 더 짙고 블랙에 가까운 톤,,
