keyword,year_month,volume,term_type
골프,2026-08,2470,TPO
공항,2025-09,1170,TPO
공항,2025-10,1050,TPO
공항,2025-11,1050,TPO
공항,2025-12,860,TPO
공항,2026-01,1210,TPO
공항,2026-02,890,TPO
공항,2026-03,1210,TPO
공항,2026-04,1210,TPO
공항,2026-05,1050,TPO
공항,2026-06,1210,TPO
공항,2026-07,1140,TPO
공항,2026-08,1090,TPO
그런지,2025-09,2080,STYLE
그런지,2025-10,1990,STYLE
그런지,2025-11,1990,STYLE
그런지,2025-12,1690,STYLE
그런지,2026-01,1990,STYLE
그런지,2026-02,1690,STYLE
그런지,2026-03,2380,STYLE
그런지,2026-04,2290,STYLE
그런지,2026-05,2380,STYLE
그런지,2026-06,2380,STYLE
그런지,2026-07,2080,STYLE
그런지,2026-08,1990,STYLE
그레이,2025-09,120,COLOR
그레이,2025-10,180,COLOR
그레이,2025-11,130,COLOR
그레이,2025-12,130,COLOR
그레이,2026-01,160,COLOR
그레이,2026-02,190,COLOR
그레이,2026-03,200,COLOR
그레이,2026-04,180,COLOR
그레이,2026-05,130,COLOR
그레이,2026-06,130,COLOR
그레이,2026-07,120,COLOR
그레이,2026-08,120,COLOR
그레이지,2025-09,390,COLOR
그레이지,2025-10,390,COLOR
그레이지,2025-11,390,COLOR
그레이지,2025-12,590,COLOR
그레이지,2026-01,590,COLOR
그레이지,2026-02,590,COLOR
그레이지,2026-03,590,COLOR
그레이지,2026-04,590,COLOR
그레이지,2026-05,720,COLOR
그레이지,2026-06,720,COLOR
그레이지,2026-07,720,COLOR
그레이지,2026-08,880,COLOR
그린,2025-09,130,COLOR
그린,2025-10,100,COLOR
그린,2025-11,100,COLOR
그린,2025-12,100,COLOR
그린,2026-01,70,COLOR
그린,2026-02,100,COLOR
그린,2026-03,160,COLOR
그린,2026-04,130,COLOR
그린,2026-05,190,COLOR
그린,2026-06,130,COLOR
그린,2026-07,110,COLOR
그린,2026-08,150,COLOR
극세사,2025-09,150,MATERIAL
극세사,2025-10,190,MATERIAL
극세사,2025-11,250,MATERIAL
극세사,2025-12,230,MATERIAL
극세사,2026-01,200,MATERIAL
극세사,2026-02,180,MATERIAL
극세사,2026-03,280,MATERIAL
극세사,2026-04,220,MATERIAL
극세사,2026-05,280,MATERIAL
극세사,2026-06,270,MATERIAL
극세사,2026-07,270,MATERIAL
극세사,2026-08,270,MATERIAL
글렌체크,2025-09,4400,DETAIL
글렌체크,2025-10,4400,DETAIL
글렌체크,2025-11,2400,DETAIL
글렌체크,2025-12,1900,DETAIL
글렌체크,2026-01,1900,DETAIL
글렌체크,2026-02,1900,DETAIL
글렌체크,2026-03,2400,DETAIL
글렌체크,2026-04,2400,DETAIL
글렌체크,2026-05,3600,DETAIL
글렌체크,2026-06,2900,DETAIL
글렌체크,2026-07,2400,DETAIL
글렌체크,2026-08,2400,DETAIL
기하학패턴,2025-09,720,DETAIL
기하학패턴,2025-10,590,DETAIL
기하학패턴,2025-11,590,DETAIL
기하학패턴,2025-12,480,DETAIL
기하학패턴,2026-01,390,DETAIL
기하학패턴,2026-02,390,DETAIL
기하학패턴,2026-03,720,DETAIL
기하학패턴,2026-04,720,DETAIL
기하학패턴,2026-05,720,DETAIL
기하학패턴,2026-06,590,DETAIL
기하학패턴,2026-07,480,DETAIL
기하학패턴,2026-08,480,DETAIL
긱시크,2025-09,5880,STYLE
긱시크,2025-10,4790,STYLE
긱시크,2025-11,4790,STYLE
긱시크,2025-12,4790,STYLE
긱시크,2026-01,4880,STYLE
긱시크,2026-02,4790,STYLE
긱시크,2026-03,5880,STYLE
긱시크,2026-04,5880,STYLE
긱시크,2026-05,5990,STYLE
긱시크,2026-06,4990,STYLE
긱시크,2026-07,4790,STYLE
긱시크,2026-08,5880,STYLE
긴소매,2025-09,210,DETAIL
긴소매,2025-10,210,DETAIL
긴소매,2025-11,210,DETAIL
긴소매,2025-12,210,DETAIL
긴소매,2026-01,210,DETAIL
긴소매,2026-02,170,DETAIL
긴소매,2026-03,170,DETAIL
긴소매,2026-04,210,DETAIL
긴소매,2026-05,210,DETAIL
긴소매,2026-06,210,DETAIL
긴소매,2026-07,260,DETAIL
긴소매,2026-08,260,DETAIL
깅엄체크,2025-09,880,DETAIL
깅엄체크,2025-10,720,DETAIL
깅엄체크,2025-11,590,DETAIL
깅엄체크,2025-12,590,DETAIL
깅엄체크,2026-01,720,DETAIL
깅엄체크,2026-02,590,DETAIL
깅엄체크,2026-03,880,DETAIL
깅엄체크,2026-04,1000,DETAIL
깅엄체크,2026-05,880,DETAIL
깅엄체크,2026-06,880,DETAIL
깅엄체크,2026-07,720,DETAIL
깅엄체크,2026-08,720,DETAIL
나이트,2025-09,780,TPO
나이트,2025-10,930,TPO
나이트,2025-11,1050,TPO
나이트,2025-12,920,TPO
나이트,2026-01,930,TPO
나이트,2026-02,910,TPO
나이트,2026-03,920,TPO
나이트,2026-04,920,TPO
나이트,2026-05,920,TPO
나이트,2026-06,920,TPO
나이트,2026-07,910,TPO
나이트,2026-08,910,TPO
나일론,2025-09,1200,MATERIAL
나일론,2025-10,930,MATERIAL
나일론,2025-11,980,MATERIAL
나일론,2025-12,800,MATERIAL
나일론,2026-01,690,MATERIAL
나일론,2026-02,690,MATERIAL
나일론,2026-03,1040,MATERIAL
나일론,2026-04,1200,MATERIAL
나일론,2026-05,1040,MATERIAL
나일론,2026-06,1040,MATERIAL
나일론,2026-07,1200,MATERIAL
나일론,2026-08,1200,MATERIAL
네오프렌,2025-09,1370,MATERIAL
네오프렌,2025-10,1390,MATERIAL
네오프렌,2025-11,1370,MATERIAL
네오프렌,2025-12,1140,MATERIAL
네오프렌,2026-01,1560,MATERIAL
네오프렌,2026-02,1200,MATERIAL
네오프렌,2026-03,1990,MATERIAL
네오프렌,2026-04,1780,MATERIAL
네오프렌,2026-05,1890,MATERIAL
네오프렌,2026-06,1890,MATERIAL
네오프렌,2026-07,1590,MATERIAL
네오프렌,2026-08,1590,MATERIAL
네이비,2025-09,340,COLOR
네이비,2025-10,400,COLOR
네이비,2025-11,400,COLOR
네이비,2025-12,270,COLOR
네이비,2026-01,270,COLOR
네이비,2026-02,330,COLOR
네이비,2026-03,400,COLOR
네이비,2026-04,330,COLOR
네이비,2026-05,330,COLOR
네이비,2026-06,220,COLOR
네이비,2026-07,280,COLOR
네이비,2026-08,270,COLOR
넥타이,2025-09,8270,ITEM
넥타이,2025-10,10160,ITEM
넥타이,2025-11,10110,ITEM
넥타이,2025-12,8310,ITEM
넥타이,2026-01,10160,ITEM
넥타이,2026-02,8310,ITEM
넥타이,2026-03,10160,ITEM
넥타이,2026-04,10160,ITEM
넥타이,2026-05,10160,ITEM
넥타이,2026-06,8310,ITEM
넥타이,2026-07,8310,ITEM
넥타이,2026-08,8420,ITEM
노치드라펠,2025-09,210,DETAIL
노치드라펠,2025-10,170,DETAIL
노치드라펠,2025-11,260,DETAIL
노치드라펠,2025-12,260,DETAIL
노치드라펠,2026-01,260,DETAIL
노치드라펠,2026-02,260,DETAIL
노치드라펠,2026-03,260,DETAIL
노치드라펠,2026-04,260,DETAIL
노치드라펠,2026-05,210,DETAIL
노치드라펠,2026-06,210,DETAIL
노치드라펠,2026-07,210,DETAIL
노치드라펠,2026-08,320,DETAIL
놈코어,2025-09,1480,STYLE
놈코어,2025-10,1480,STYLE
놈코어,2025-11,1480,STYLE
놈코어,2025-12,1880,STYLE
놈코어,2026-01,1310,STYLE
놈코어,2026-02,1200,STYLE
놈코어,2026-03,1590,STYLE
놈코어,2026-04,1470,STYLE
놈코어,2026-05,1720,STYLE
놈코어,2026-06,1600,STYLE
놈코어,2026-07,1470,STYLE
놈코어,2026-08,1600,STYLE
니렝스,2025-09,10,DETAIL
니렝스,2025-10,10,DETAIL
니렝스,2025-11,10,DETAIL
니렝스,2025-12,10,DETAIL
니렝스,2026-01,10,DETAIL
니렝스,2026-02,10,DETAIL
니렝스,2026-03,10,DETAIL
니렝스,2026-04,20,DETAIL
니렝스,2026-05,20,DETAIL
니렝스,2026-06,10,DETAIL
니렝스,2026-07,10,DETAIL
니렝스,2026-08,10,DETAIL
니트,2025-09,13610,ITEM
니트,2025-09,13610,MATERIAL
니트,2025-10,23820,ITEM
니트,2025-10,23820,MATERIAL
니트,2025-11,28980,ITEM
니트,2025-11,28980,MATERIAL
니트,2025-12,29010,ITEM
니트,2025-12,29010,MATERIAL
니트,2026-01,24050,ITEM
니트,2026-01,24050,MATERIAL
니트,2026-02,19460,ITEM
니트,2026-02,19460,MATERIAL
니트,2026-03,19330,ITEM
니트,2026-03,19330,MATERIAL
니트,2026-04,16090,ITEM
니트,2026-04,16090,MATERIAL
니트,2026-05,15990,ITEM
니트,2026-05,15990,MATERIAL
니트,2026-06,13190,ITEM
니트,2026-06,13190,MATERIAL
니트,2026-07,13150,ITEM
니트,2026-07,13150,MATERIAL
니트,2026-08,15940,ITEM
니트,2026-08,15940,MATERIAL
니트타이,2025-09,210,ITEM
니트타이,2025-10,260,ITEM
니트타이,2025-11,260,ITEM
니트타이,2025-12,260,ITEM
니트타이,2026-01,260,ITEM
니트타이,2026-02,210,ITEM
니트타이,2026-03,320,ITEM
니트타이,2026-04,260,ITEM
니트타이,2026-05,260,ITEM
니트타이,2026-06,210,ITEM
니트타이,2026-07,140,ITEM
니트타이,2026-08,170,ITEM
다운,2025-09,10,MATERIAL
다운,2025-10,20,MATERIAL
다운,2025-11,30,MATERIAL
다운,2025-12,20,MATERIAL
다운,2026-01,10,MATERIAL
다운,2026-02,10,MATERIAL
다운,2026-03,10,MATERIAL
다운,2026-04,10,MATERIAL
다운,2026-05,10,MATERIAL
다운,2026-06,10,MATERIAL
다운,2026-07,10,MATERIAL
다운,2026-08,10,MATERIAL
다크 아카데미아,2025-09,320,STYLE
다크 아카데미아,2025-10,320,STYLE
다크 아카데미아,2025-11,260,STYLE
다크 아카데미아,2025-12,260,STYLE
다크 아카데미아,2026-01,320,STYLE
다크 아카데미아,2026-02,320,STYLE
다크 아카데미아,2026-03,320,STYLE
다크 아카데미아,2026-04,320,STYLE
다크 아카데미아,2026-05,390,STYLE
다크 아카데미아,2026-06,320,STYLE
다크 아카데미아,2026-07,320,STYLE
다크 아카데미아,2026-08,390,STYLE
다크브라운,2025-09,1740,COLOR
다크브라운,2025-10,2110,COLOR
다크브라운,2025-11,2110,COLOR
다크브라운,2025-12,2540,COLOR
다크브라운,2026-01,2510,COLOR
다크브라운,2026-02,2510,COLOR
다크브라운,2026-03,2540,COLOR
다크브라운,2026-04,2470,COLOR
다크브라운,2026-05,2470,COLOR
다크브라운,2026-06,2450,COLOR
다크브라운,2026-07,2940,COLOR
다크브라운,2026-08,2940,COLOR
더비슈즈,2025-09,6600,ITEM
더비슈즈,2025-10,8100,ITEM
더비슈즈,2025-11,9900,ITEM
더비슈즈,2025-12,9900,ITEM
더비슈즈,2026-01,9900,ITEM
더비슈즈,2026-02,9900,ITEM
더비슈즈,2026-03,9900,ITEM
더비슈즈,2026-04,9900,ITEM
더비슈즈,2026-05,8100,ITEM
더비슈즈,2026-06,6600,ITEM
더비슈즈,2026-07,6600,ITEM
더비슈즈,2026-08,8100,ITEM
더스티핑크,2025-09,170,COLOR
더스티핑크,2025-10,320,COLOR
더스티핑크,2025-11,260,COLOR
더스티핑크,2025-12,480,COLOR
더스티핑크,2026-01,720,COLOR
더스티핑크,2026-02,590,COLOR
더스티핑크,2026-03,590,COLOR
더스티핑크,2026-04,720,COLOR
더스티핑크,2026-05,590,COLOR
더스티핑크,2026-06,480,COLOR
더스티핑크,2026-07,480,COLOR
더스티핑크,2026-08,480,COLOR
더플코트,2025-09,1000,ITEM
더플코트,2025-10,1900,ITEM
더플코트,2025-11,3600,ITEM
더플코트,2025-12,3600,ITEM
더플코트,2026-01,2400,ITEM
더플코트,2026-02,1600,ITEM
더플코트,2026-03,1000,ITEM
더플코트,2026-04,720,ITEM
더플코트,2026-05,720,ITEM
더플코트,2026-06,720,ITEM
더플코트,2026-07,880,ITEM
더플코트,2026-08,1000,ITEM
데님,2025-09,400,MATERIAL
데님,2025-10,400,MATERIAL
데님,2025-11,430,MATERIAL
데님,2025-12,370,MATERIAL
데님,2026-01,280,MATERIAL
데님,2026-02,320,MATERIAL
데님,2026-03,530,MATERIAL
데님,2026-04,650,MATERIAL
데님,2026-05,650,MATERIAL
데님,2026-06,580,MATERIAL
데님,2026-07,420,MATERIAL
데님,2026-08,380,MATERIAL
데님블루,2025-09,70,COLOR
데님블루,2025-10,50,COLOR
데님블루,2025-11,70,COLOR
데님블루,2025-12,70,COLOR
데님블루,2026-01,90,COLOR
데님블루,2026-02,70,COLOR
데님블루,2026-03,110,COLOR
데님블루,2026-04,110,COLOR
데님블루,2026-05,110,COLOR
데님블루,2026-06,110,COLOR
데님블루,2026-07,140,COLOR
데님블루,2026-08,140,COLOR
데이트,2025-09,1500,TPO
데이트,2025-10,1480,TPO
데이트,2025-11,1230,TPO
데이트,2025-12,1210,TPO
데이트,2026-01,1180,TPO
데이트,2026-02,1540,TPO
데이트,2026-03,1810,TPO
데이트,2026-04,1810,TPO
데이트,2026-05,1830,TPO
데이트,2026-06,1480,TPO
데이트,2026-07,1510,TPO
데이트,2026-08,1510,TPO
데일리,2025-09,4470,TPO
데일리,2025-10,8140,TPO
데일리,2025-11,4430,TPO
데일리,2025-12,3640,TPO
데일리,2026-01,3640,TPO
데일리,2026-02,3640,TPO
데일리,2026-03,5430,TPO
데일리,2026-04,3650,TPO
데일리,2026-05,3630,TPO
데일리,2026-06,2930,TPO
데일리,2026-07,2430,TPO
데일리,2026-08,2450,TPO
도비,2025-09,50,MATERIAL
도비,2025-10,40,MATERIAL
도비,2025-11,50,MATERIAL
도비,2025-12,50,MATERIAL
도비,2026-01,90,MATERIAL
도비,2026-02,110,MATERIAL
도비,2026-03,140,MATERIAL
도비,2026-04,170,MATERIAL
도비,2026-05,210,MATERIAL
도비,2026-06,210,MATERIAL
도비,2026-07,210,MATERIAL
도비,2026-08,210,MATERIAL
도심,2025-09,70,TPO
도심,2025-10,70,TPO
도심,2025-11,50,TPO
도심,2025-12,40,TPO
도심,2026-01,40,TPO
도심,2026-02,70,TPO
도심,2026-03,90,TPO
도심,2026-04,70,TPO
도심,2026-05,90,TPO
도심,2026-06,50,TPO
도심,2026-07,70,TPO
도심,2026-08,90,TPO
도트,2025-09,800,DETAIL
도트,2025-10,690,DETAIL
도트,2025-11,740,DETAIL
도트,2025-12,740,DETAIL
도트,2026-01,650,DETAIL
도트,2026-02,650,DETAIL
도트,2026-03,850,DETAIL
도트,2026-04,850,DETAIL
도트,2026-05,980,DETAIL
도트,2026-06,1070,DETAIL
도트,2026-07,800,DETAIL
도트,2026-08,800,DETAIL
돌먼소매,2025-09,50,DETAIL
돌먼소매,2025-10,40,DETAIL
돌먼소매,2025-11,50,DETAIL
돌먼소매,2025-12,50,DETAIL
돌먼소매,2026-01,50,DETAIL
돌먼소매,2026-02,90,DETAIL
돌먼소매,2026-03,170,DETAIL
돌먼소매,2026-04,320,DETAIL
돌먼소매,2026-05,480,DETAIL
돌먼소매,2026-06,590,DETAIL
돌먼소매,2026-07,590,DETAIL
돌먼소매,2026-08,390,DETAIL
돌잔치,2025-09,1160,TPO
돌잔치,2025-10,980,TPO
돌잔치,2025-11,960,TPO
돌잔치,2025-12,820,TPO
돌잔치,2026-01,1020,TPO
돌잔치,2026-02,690,TPO
돌잔치,2026-03,1020,TPO
돌잔치,2026-04,1020,TPO
돌잔치,2026-05,1180,TPO
돌잔치,2026-06,1040,TPO
돌잔치,2026-07,1180,TPO
돌잔치,2026-08,1060,TPO
드레스,2025-09,13420,ITEM
드레스,2025-10,11520,ITEM
드레스,2025-11,11220,ITEM
드레스,2025-12,13720,ITEM
드레스,2026-01,14020,ITEM
드레스,2026-02,11220,ITEM
드레스,2026-03,23590,ITEM
드레스,2026-04,16190,ITEM
드레스,2026-05,28790,ITEM
드레스,2026-06,41890,ITEM
드레스,2026-07,19490,ITEM
드레스,2026-08,51120,ITEM
드레이프,2025-09,50,DETAIL
드레이프,2025-10,70,DETAIL
드레이프,2025-11,40,DETAIL
드레이프,2025-12,30,DETAIL
드레이프,2026-01,50,DETAIL
드레이프,2026-02,70,DETAIL
드레이프,2026-03,140,DETAIL
드레이프,2026-04,140,DETAIL
드레이프,2026-05,260,DETAIL
드레이프,2026-06,320,DETAIL
드레이프,2026-07,260,DETAIL
드레이프,2026-08,260,DETAIL
드로스트링,2025-09,160,DETAIL
드로스트링,2025-10,190,DETAIL
드로스트링,2025-11,180,DETAIL
드로스트링,2025-12,180,DETAIL
드로스트링,2026-01,190,DETAIL
드로스트링,2026-02,240,DETAIL
드로스트링,2026-03,240,DETAIL
드로스트링,2026-04,260,DETAIL
드로스트링,2026-05,320,DETAIL
드로스트링,2026-06,300,DETAIL
드로스트링,2026-07,350,DETAIL
드로스트링,2026-08,330,DETAIL
드롭숄더,2025-09,480,DETAIL
드롭숄더,2025-10,480,DETAIL
드롭숄더,2025-11,480,DETAIL
드롭숄더,2025-12,480,DETAIL
드롭숄더,2026-01,480,DETAIL
드롭숄더,2026-02,590,DETAIL
드롭숄더,2026-03,720,DETAIL
드롭숄더,2026-04,880,DETAIL
드롭숄더,2026-05,720,DETAIL
드롭숄더,2026-06,720,DETAIL
드롭숄더,2026-07,720,DETAIL
드롭숄더,2026-08,880,DETAIL
등산로,2025-09,3110,TPO
등산로,2025-10,3160,TPO
등산로,2025-11,3860,TPO
등산로,2025-12,3070,TPO
등산로,2026-01,2610,TPO
등산로,2026-02,2160,TPO
등산로,2026-03,3290,TPO
등산로,2026-04,3990,TPO
등산로,2026-05,4080,TPO
등산로,2026-06,2720,TPO
등산로,2026-07,2610,TPO
등산로,2026-08,2660,TPO
등산화,2025-09,3600,ITEM
등산화,2025-10,4400,ITEM
등산화,2025-11,4400,ITEM
등산화,2025-12,4400,ITEM
등산화,2026-01,3600,ITEM
등산화,2026-02,3600,ITEM
등산화,2026-03,3600,ITEM
등산화,2026-04,4400,ITEM
등산화,2026-05,4400,ITEM
등산화,2026-06,2900,ITEM
등산화,2026-07,2900,ITEM
등산화,2026-08,2900,ITEM
디스트레스드,2025-09,70,MATERIAL
디스트레스드,2025-10,90,MATERIAL
디스트레스드,2025-11,70,MATERIAL
디스트레스드,2025-12,90,MATERIAL
디스트레스드,2026-01,70,MATERIAL
디스트레스드,2026-02,90,MATERIAL
디스트레스드,2026-03,140,MATERIAL
디스트레스드,2026-04,90,MATERIAL
디스트레스드,2026-05,140,MATERIAL
디스트레스드,2026-06,90,MATERIAL
디스트레스드,2026-07,110,MATERIAL
디스트레스드,2026-08,140,MATERIAL
딥네이비,2025-09,320,COLOR
딥네이비,2025-10,320,COLOR
딥네이비,2025-11,390,COLOR
딥네이비,2025-12,480,COLOR
딥네이비,2026-01,590,COLOR
딥네이비,2026-02,720,COLOR
딥네이비,2026-03,880,COLOR
딥네이비,2026-04,720,COLOR
딥네이비,2026-05,1000,COLOR
딥네이비,2026-06,590,COLOR
딥네이비,2026-07,720,COLOR
딥네이비,2026-08,880,COLOR
라벤더,2025-09,30,COLOR
라벤더,2025-10,10,COLOR
라벤더,2025-11,20,COLOR
라벤더,2025-12,10,COLOR
라벤더,2026-01,20,COLOR
라벤더,2026-02,50,COLOR
라벤더,2026-03,70,COLOR
라벤더,2026-04,50,COLOR
라벤더,2026-05,70,COLOR
라벤더,2026-06,70,COLOR
라벤더,2026-07,70,COLOR
라벤더,2026-08,50,COLOR
라운드넥,2025-09,880,DETAIL
라운드넥,2025-10,880,DETAIL
라운드넥,2025-11,880,DETAIL
라운드넥,2025-12,880,DETAIL
라운드넥,2026-01,720,DETAIL
라운드넥,2026-02,720,DETAIL
라운드넥,2026-03,1000,DETAIL
라운드넥,2026-04,1000,DETAIL
라운드넥,2026-05,1000,DETAIL
라운드넥,2026-06,1000,DETAIL
라운드넥,2026-07,1000,DETAIL
라운드넥,2026-08,1000,DETAIL
라운드토,2025-09,30,DETAIL
라운드토,2025-10,50,DETAIL
라운드토,2025-11,40,DETAIL
라운드토,2025-12,30,DETAIL
라운드토,2026-01,30,DETAIL
